row_id,order_id,order_date,ship_date,segment,category,sub_category,product_name,region,state,city,sales,profit,discount,quantity,month,discount_bucket
13,CA-2017-114412,2017-04-15,2017-04-20,Consumer,Office Supplies,Paper,Xerox 1967,South,North Carolina,Concord,15.55,5.44,0.2,3,2017-04,10-20%
14,CA-2016-161389,2016-12-05,2016-12-10,Consumer,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,West,Washington,Seattle,407.98,132.59,0.2,3,2016-12,10-20%
15,US-2015-118983,2015-11-22,2015-11-26,Home Office,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",Central,Texas,Fort Worth,68.81,-123.86,0.8,5,2015-11,>20%
16,US-2015-118983,2015-11-22,2015-11-26,Home Office,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,Central,Texas,Fort Worth,2.54,-3.82,0.8,3,2015-11,>20%
17,CA-2014-105893,2014-11-11,2014-11-18,Consumer,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",Central,Wisconsin,Madison,665.88,13.32,0.0,6,2014-11,0%
18,CA-2014-167164,2014-05-13,2014-05-15,Consumer,Office Supplies,Storage,Fellowes Super Stor/Drawer,West,Utah,West Jordan,55.5,9.99,0.0,2,2014-05,0%
19,CA-2014-143336,2014-08-27,2014-09-01,Consumer,Office Supplies,Art,Newell 341,West,California,San Francisco,8.56,2.48,0.0,2,2014-08,0%
20,CA-2014-143336,2014-08-27,2014-09-01,Consumer,Technology,Phones,Cisco SPA 501G IP Phone,West,California,San Francisco,213.48,16.01,0.2,3,2014-08,10-20%
21,CA-2014-143336,2014-08-27,2014-09-01,Consumer,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",West,California,San Francisco,22.72,7.38,0.2,4,2014-08,10-20%
22,CA-2016-137330,2016-12-09,2016-12-13,Corporate,Office Supplies,Art,Newell 318,Central,Nebraska,Fremont,19.46,5.06,0.0,7,2016-12,0%
23,CA-2016-137330,2016-12-09,2016-12-13,Corporate,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",Central,Nebraska,Fremont,60.34,15.69,0.0,7,2016-12,0%
24,US-2017-156909,2017-07-16,2017-07-18,Consumer,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",East,Pennsylvania,Philadelphia,71.37,-1.02,0.3,2,2017-07,>20%
25,CA-2015-106320,2015-09-25,2015-09-30,Consumer,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,West,Utah,Orem,1044.63,240.26,0.0,3,2015-09,0%
26,CA-2016-121755,2016-01-16,2016-01-20,Consumer,Office Supplies,Binders,Wilson Jones Active Use Binders,West,California,Los Angeles,11.65,4.22,0.2,2,2016-01,10-20%
27,CA-2016-121755,2016-01-16,2016-01-20,Consumer,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,West,California,Los Angeles,90.57,11.77,0.0,3,2016-01,0%
28,US-2015-150630,2015-09-17,2015-09-21,Consumer,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",East,Pennsylvania,Philadelphia,3083.43,-1665.05,0.5,7,2015-09,>20%
29,US-2015-150630,2015-09-17,2015-09-21,Consumer,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,East,Pennsylvania,Philadelphia,9.62,-7.05,0.7,2,2015-09,>20%
30,US-2015-150630,2015-09-17,2015-09-21,Consumer,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",East,Pennsylvania,Philadelphia,124.2,15.53,0.2,3,2015-09,10-20%
31,US-2015-150630,2015-09-17,2015-09-21,Consumer,Office Supplies,Envelopes,Poly String Tie Envelopes,East,Pennsylvania,Philadelphia,3.26,1.1,0.2,2,2015-09,10-20%
32,US-2015-150630,2015-09-17,2015-09-21,Consumer,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",East,Pennsylvania,Philadelphia,86.3,9.71,0.2,6,2015-09,10-20%
33,US-2015-150630,2015-09-17,2015-09-21,Consumer,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",East,Pennsylvania,Philadelphia,6.86,-5.72,0.7,6,2015-09,>20%
34,US-2015-150630,2015-09-17,2015-09-21,Consumer,Office Supplies,Art,Lumber Crayons,East,Pennsylvania,Philadelphia,15.76,3.55,0.2,2,2015-09,10-20%
35,CA-2017-107727,2017-10-19,2017-10-23,Home Office,Office Supplies,Paper,Easy-staple paper,Central,Texas,Houston,29.47,9.95,0.2,3,2017-10,10-20%
36,CA-2016-117590,2016-12-08,2016-12-10,Corporate,Technology,Phones,GE 30524EE4,Central,Texas,Richardson,1097.54,123.47,0.2,7,2016-12,10-20%
37,CA-2016-117590,2016-12-08,2016-12-10,Corporate,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",Central,Texas,Richardson,190.92,-147.96,0.6,5,2016-12,>20%
38,CA-2015-117415,2015-12-27,2015-12-31,Home Office,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",Central,Texas,Houston,113.33,35.42,0.2,9,2015-12,10-20%
39,CA-2015-117415,2015-12-27,2015-12-31,Home Office,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Central,Texas,Houston,532.4,-46.98,0.32,3,2015-12,>20%
40,CA-2015-117415,2015-12-27,2015-12-31,Home Office,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",Central,Texas,Houston,212.06,-15.15,0.3,3,2015-12,>20%
41,CA-2015-117415,2015-12-27,2015-12-31,Home Office,Technology,Phones,Plantronics HL10 Handset Lifter,Central,Texas,Houston,371.17,41.76,0.2,4,2015-12,10-20%
42,CA-2017-120999,2017-09-10,2017-09-15,Corporate,Technology,Phones,Panasonic Kx-TS550,Central,Illinois,Naperville,147.17,16.56,0.2,4,2017-09,10-20%
43,CA-2016-101343,2016-07-17,2016-07-22,Corporate,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",West,California,Los Angeles,77.88,3.89,0.0,2,2016-07,0%
44,CA-2017-139619,2017-09-19,2017-09-23,Corporate,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",South,Florida,Melbourne,95.62,9.56,0.2,2,2017-09,10-20%
45,CA-2016-118255,2016-03-11,2016-03-13,Corporate,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",Central,Minnesota,Eagan,45.98,19.77,0.0,2,2016-03,0%
46,CA-2016-118255,2016-03-11,2016-03-13,Corporate,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,Central,Minnesota,Eagan,17.46,8.21,0.0,2,2016-03,0%
47,CA-2014-146703,2014-10-20,2014-10-25,Consumer,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",Central,Michigan,Westland,211.96,8.48,0.0,4,2014-10,0%
48,CA-2016-169194,2016-06-20,2016-06-25,Consumer,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,East,Delaware,Dover,45.0,4.95,0.0,3,2016-06,0%
49,CA-2016-169194,2016-06-20,2016-06-25,Consumer,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",East,Delaware,Dover,21.8,6.1,0.0,2,2016-06,0%
50,CA-2015-115742,2015-04-18,2015-04-22,Consumer,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",Central,Indiana,New Albany,38.22,17.96,0.0,6,2015-04,0%
51,CA-2015-115742,2015-04-18,2015-04-22,Consumer,Office Supplies,Labels,Avery 485,Central,Indiana,New Albany,75.18,35.33,0.0,6,2015-04,0%
52,CA-2015-115742,2015-04-18,2015-04-22,Consumer,Furniture,Furnishings,Longer-Life Soft White Bulbs,Central,Indiana,New Albany,6.16,2.96,0.0,2,2015-04,0%
53,CA-2015-115742,2015-04-18,2015-04-22,Consumer,Furniture,Chairs,"Global Leather Task Chair, Black",Central,Indiana,New Albany,89.99,17.1,0.0,1,2015-04,0%
54,CA-2016-105816,2016-12-11,2016-12-17,Corporate,Office Supplies,Fasteners,Advantus Push Pins,East,New York,New York City,15.26,6.26,0.0,7,2016-12,0%
55,CA-2016-105816,2016-12-11,2016-12-17,Corporate,Technology,Phones,AT&T CL83451 4-Handset Telephone,East,New York,New York City,1029.95,298.69,0.0,5,2016-12,0%
56,CA-2016-111682,2016-06-17,2016-06-18,Consumer,Office Supplies,Storage,Home/Office Personal File Carts,East,New York,Troy,208.56,52.14,0.0,6,2016-06,0%
57,CA-2016-111682,2016-06-17,2016-06-18,Consumer,Office Supplies,Paper,Xerox 232,East,New York,Troy,32.4,15.55,0.0,5,2016-06,0%
58,CA-2016-111682,2016-06-17,2016-06-18,Consumer,Furniture,Chairs,Novimex Turbo Task Chair,East,New York,Troy,319.41,7.1,0.1,5,2016-06,0-10%
59,CA-2016-111682,2016-06-17,2016-06-18,Consumer,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",East,New York,Troy,14.56,6.99,0.0,2,2016-06,0%
60,CA-2016-111682,2016-06-17,2016-06-18,Consumer,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,East,New York,Troy,30.0,3.3,0.0,2,2016-06,0%
61,CA-2016-111682,2016-06-17,2016-06-18,Consumer,Office Supplies,Binders,Plastic Binding Combs,East,New York,Troy,48.48,16.36,0.2,4,2016-06,10-20%
62,CA-2016-111682,2016-06-17,2016-06-18,Consumer,Office Supplies,Art,Prang Dustless Chalk Sticks,East,New York,Troy,1.68,0.84,0.0,1,2016-06,0%
63,CA-2015-135545,2015-11-24,2015-11-30,Consumer,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",West,California,Los Angeles,13.98,6.15,0.0,2,2015-11,0%
64,CA-2015-135545,2015-11-24,2015-11-30,Consumer,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",West,California,Los Angeles,25.82,9.36,0.2,6,2015-11,10-20%
65,CA-2015-135545,2015-11-24,2015-11-30,Consumer,Office Supplies,Paper,Xerox 1943,West,California,Los Angeles,146.73,68.96,0.0,3,2015-11,0%
66,CA-2015-135545,2015-11-24,2015-11-30,Consumer,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,West,California,Los Angeles,79.76,22.33,0.0,4,2015-11,0%
67,US-2015-164175,2015-04-30,2015-05-05,Home Office,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",Central,Illinois,Chicago,213.12,-15.22,0.3,5,2015-04,>20%
68,CA-2014-106376,2014-12-05,2014-12-10,Corporate,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",West,Arizona,Gilbert,1113.02,111.3,0.2,8,2014-12,10-20%
69,CA-2014-106376,2014-12-05,2014-12-10,Corporate,Technology,Phones,netTALK DUO VoIP Telephone Service,West,Arizona,Gilbert,167.97,62.99,0.2,4,2014-12,10-20%
70,CA-2016-119823,2016-06-04,2016-06-06,Consumer,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",South,Virginia,Springfield,75.88,35.66,0.0,2,2016-06,0%
71,CA-2016-106075,2016-09-18,2016-09-23,Consumer,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,East,New York,New York City,4.62,1.73,0.2,1,2016-09,10-20%
72,CA-2017-114440,2017-09-14,2017-09-17,Consumer,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",Central,Michigan,Jackson,19.05,8.76,0.0,3,2017-09,0%
73,US-2015-134026,2015-04-26,2015-05-02,Consumer,Furniture,Chairs,High-Back Leather Manager's Chair,South,Tennessee,Memphis,831.94,-114.39,0.2,8,2015-04,10-20%
74,US-2015-134026,2015-04-26,2015-05-02,Consumer,Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",South,Tennessee,Memphis,97.04,1.21,0.2,2,2015-04,10-20%
75,US-2015-134026,2015-04-26,2015-05-02,Consumer,Office Supplies,Storage,Safco Industrial Wire Shelving System,South,Tennessee,Memphis,72.78,-18.2,0.2,1,2015-04,10-20%
76,US-2017-118038,2017-12-09,2017-12-11,Corporate,Office Supplies,Binders,Economy Binders,Central,Texas,Houston,1.25,-1.93,0.8,3,2017-12,>20%
77,US-2017-118038,2017-12-09,2017-12-11,Corporate,Furniture,Furnishings,"6"" Cubicle Wall Clock, Black",Central,Texas,Houston,9.71,-5.82,0.6,3,2017-12,>20%
78,US-2017-118038,2017-12-09,2017-12-11,Corporate,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",Central,Texas,Houston,27.24,2.72,0.2,3,2017-12,10-20%
79,US-2014-147606,2014-11-26,2014-12-01,Consumer,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",Central,Texas,Houston,19.3,-14.48,0.6,5,2014-11,>20%
80,CA-2016-127208,2016-06-12,2016-06-15,Corporate,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",South,Alabama,Decatur,208.16,56.2,0.0,1,2016-06,0%
81,CA-2016-127208,2016-06-12,2016-06-15,Corporate,Office Supplies,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings,South,Alabama,Decatur,16.74,8.04,0.0,3,2016-06,0%
82,CA-2014-139451,2014-10-12,2014-10-16,Consumer,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",West,California,San Francisco,14.9,4.17,0.0,5,2014-10,0%
83,CA-2014-139451,2014-10-12,2014-10-16,Consumer,Office Supplies,Storage,"Sortfiler Multipurpose Personal File Organizer, Black",West,California,San Francisco,21.39,6.2,0.0,1,2014-10,0%
84,CA-2015-149734,2015-09-03,2015-09-08,Corporate,Office Supplies,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,South,North Carolina,Durham,200.98,62.81,0.2,7,2015-09,10-20%
85,US-2017-119662,2017-11-13,2017-11-16,Home Office,Office Supplies,Storage,Safco Industrial Wire Shelving,Central,Illinois,Chicago,230.38,-48.95,0.2,3,2017-11,10-20%
86,CA-2017-140088,2017-05-28,2017-05-30,Consumer,Furniture,Chairs,Novimex Swivel Fabric Task Chair,South,South Carolina,Columbia,301.96,33.22,0.0,2,2017-05,0%
87,CA-2017-155558,2017-10-26,2017-11-02,Consumer,Technology,Accessories,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,Central,Minnesota,Rochester,19.99,6.8,0.0,1,2017-10,0%
88,CA-2017-155558,2017-10-26,2017-11-02,Consumer,Office Supplies,Labels,Avery 511,Central,Minnesota,Rochester,6.16,2.96,0.0,2,2017-10,0%
89,CA-2016-159695,2016-04-05,2016-04-10,Home Office,Office Supplies,Storage,Eldon Portable Mobile Manager,Central,Texas,Houston,158.37,13.86,0.2,7,2016-04,10-20%
90,CA-2016-109806,2016-09-17,2016-09-22,Corporate,Office Supplies,Art,Turquoise Lead Holder with Pocket Clip,West,California,Los Angeles,20.1,6.63,0.0,3,2016-09,0%
91,CA-2016-109806,2016-09-17,2016-09-22,Corporate,Technology,Phones,Panasonic Kx-TS550,West,California,Los Angeles,73.58,8.28,0.2,2,2016-09,10-20%
92,CA-2016-109806,2016-09-17,2016-09-22,Corporate,Office Supplies,Paper,Xerox 1995,West,California,Los Angeles,6.48,3.11,0.0,1,2016-09,0%
93,CA-2015-149587,2015-01-31,2015-02-05,Consumer,Office Supplies,Paper,Xerox 1999,Central,Minnesota,Minneapolis,12.96,6.22,0.0,2,2015-01,0%
94,CA-2015-149587,2015-01-31,2015-02-05,Consumer,Furniture,Furnishings,"Seth Thomas 13 1/2"" Wall Clock",Central,Minnesota,Minneapolis,53.34,16.54,0.0,3,2015-01,0%
95,CA-2015-149587,2015-01-31,2015-02-05,Consumer,Office Supplies,Binders,Ibico Standard Transparent Covers,Central,Minnesota,Minneapolis,32.96,16.15,0.0,2,2015-01,0%
96,US-2017-109484,2017-11-06,2017-11-12,Home Office,Office Supplies,Binders,Flexible Leather- Look Classic Collection Ring Binder,West,Oregon,Portland,5.68,-3.79,0.7,1,2017-11,>20%
97,CA-2017-161018,2017-11-09,2017-11-11,Home Office,Furniture,Furnishings,9-3/4 Diameter Round Wall Clock,East,New York,New York City,96.53,40.54,0.0,7,2017-11,0%
98,CA-2017-157833,2017-06-17,2017-06-20,Consumer,Office Supplies,Binders,Trimflex Flexible Post Binders,West,California,San Francisco,51.31,17.96,0.2,3,2017-06,10-20%
99,CA-2016-149223,2016-09-06,2016-09-11,Corporate,Office Supplies,Appliances,Fellowes Basic Home/Office Series Surge Protectors,Central,Minnesota,Saint Paul,77.88,22.59,0.0,6,2016-09,0%
100,CA-2016-158568,2016-08-29,2016-09-02,Home Office,Office Supplies,Paper,Avery Personal Creations Heavyweight Cards,Central,Illinois,Chicago,64.62,22.62,0.2,7,2016-08,10-20%
101,CA-2016-158568,2016-08-29,2016-09-02,Home Office,Technology,Accessories,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,Central,Illinois,Chicago,95.98,-10.8,0.2,3,2016-08,10-20%
102,CA-2016-158568,2016-08-29,2016-09-02,Home Office,Office Supplies,Binders,Avery Hidden Tab Dividers for Binding Systems,Central,Illinois,Chicago,1.79,-3.04,0.8,3,2016-08,>20%
103,CA-2016-129903,2016-12-01,2016-12-04,Consumer,Office Supplies,Paper,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),Central,Minnesota,Rochester,23.92,11.72,0.0,4,2016-12,0%
104,US-2015-156867,2015-11-13,2015-11-17,Consumer,Technology,Accessories,Logitech K350 2.4Ghz Wireless Keyboard,West,Colorado,Aurora,238.9,-26.88,0.2,6,2015-11,10-20%
105,US-2015-156867,2015-11-13,2015-11-17,Consumer,Furniture,Furnishings,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",West,Colorado,Aurora,102.36,-3.84,0.2,3,2015-11,10-20%
106,US-2015-156867,2015-11-13,2015-11-17,Consumer,Office Supplies,Binders,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",West,Colorado,Aurora,36.88,-25.82,0.7,3,2015-11,>20%
107,CA-2017-119004,2017-11-23,2017-11-28,Consumer,Technology,Accessories,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,South,North Carolina,Charlotte,74.11,17.6,0.2,8,2017-11,10-20%
108,CA-2017-119004,2017-11-23,2017-11-28,Consumer,Technology,Phones,Speck Products Candyshell Flip Case,South,North Carolina,Charlotte,27.99,2.1,0.2,1,2017-11,10-20%
109,CA-2017-119004,2017-11-23,2017-11-28,Consumer,Office Supplies,Art,Newell Chalk Holder,South,North Carolina,Charlotte,3.3,1.07,0.2,1,2017-11,10-20%
110,CA-2015-129476,2015-10-15,2015-10-20,Home Office,Technology,Accessories,Logitech Gaming G510s - Keyboard,Central,Illinois,Orland Park,339.96,67.99,0.2,5,2015-10,10-20%
111,CA-2017-146780,2017-12-25,2017-12-30,Corporate,Furniture,Furnishings,Magnifier Swing Arm Lamp,East,New York,New York City,41.96,10.91,0.0,2,2017-12,0%
112,CA-2016-128867,2016-11-03,2016-11-10,Consumer,Office Supplies,Art,"Hunt PowerHouse Electric Pencil Sharpener, Blue",Central,Iowa,Urbandale,75.96,22.79,0.0,2,2016-11,0%
113,CA-2016-128867,2016-11-03,2016-11-10,Consumer,Office Supplies,Binders,"Avery Durable Plastic 1"" Binders",Central,Iowa,Urbandale,27.24,13.35,0.0,6,2016-11,0%
114,CA-2014-115259,2014-08-25,2014-08-27,Consumer,Office Supplies,Fasteners,"OIC Colored Binder Clips, Assorted Sizes",East,Ohio,Columbus,40.1,14.53,0.2,14,2014-08,10-20%
115,CA-2014-115259,2014-08-25,2014-08-27,Consumer,Office Supplies,Envelopes,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",East,Ohio,Columbus,4.72,1.65,0.2,2,2014-08,10-20%
116,CA-2014-115259,2014-08-25,2014-08-27,Consumer,Office Supplies,Paper,Xerox 1921,East,Ohio,Columbus,23.98,7.49,0.2,3,2014-08,10-20%
117,CA-2014-115259,2014-08-25,2014-08-27,Consumer,Office Supplies,Envelopes,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",East,Ohio,Columbus,130.46,44.03,0.2,6,2014-08,10-20%
118,CA-2015-110457,2015-03-02,2015-03-06,Consumer,Furniture,Tables,Hon Racetrack Conference Tables,West,Washington,Seattle,787.53,165.38,0.0,3,2015-03,0%
119,US-2015-136476,2015-04-05,2015-04-10,Corporate,Office Supplies,Binders,GBC DocuBind 300 Electric Binding Machine,South,Tennessee,Bristol,157.79,-115.72,0.7,1,2015-04,>20%
120,CA-2016-103730,2016-06-12,2016-06-15,Consumer,Furniture,Furnishings,Artistic Insta-Plaque,East,Delaware,Wilmington,47.04,18.35,0.0,3,2016-06,0%
121,CA-2016-103730,2016-06-12,2016-06-15,Consumer,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,East,Delaware,Wilmington,30.84,13.88,0.0,4,2016-06,0%
122,CA-2016-103730,2016-06-12,2016-06-15,Consumer,Office Supplies,Storage,"Companion Letter/Legal File, Black",East,Delaware,Wilmington,226.56,63.44,0.0,6,2016-06,0%
123,CA-2016-103730,2016-06-12,2016-06-15,Consumer,Office Supplies,Envelopes,Globe Weis Peel & Seel First Class Envelopes,East,Delaware,Wilmington,115.02,51.76,0.0,9,2016-06,0%
124,CA-2016-103730,2016-06-12,2016-06-15,Consumer,Technology,Phones,KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7,East,Delaware,Wilmington,68.04,19.73,0.0,7,2016-06,0%
125,US-2014-152030,2014-12-26,2014-12-28,Home Office,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,Central,Texas,Houston,600.56,-8.58,0.3,3,2014-12,>20%
126,US-2014-134614,2014-09-20,2014-09-25,Consumer,Furniture,Tables,Bevis 44 x 96 Conference Tables,Central,Illinois,Bloomington,617.7,-407.68,0.5,6,2014-09,>20%
4624,CA-2017-147228,2017-09-09,2017-09-14,Consumer,Office Supplies,Paper,Xerox 1888,South,Tennessee,Columbia,177.54,62.14,0.2,4,2017-09,10-20%
127,US-2017-107272,2017-11-05,2017-11-12,Consumer,Office Supplies,Binders,"Avery Durable Slant Ring Binders, No Labels",West,Arizona,Phoenix,2.39,-1.83,0.7,2,2017-11,>20%
128,US-2017-107272,2017-11-05,2017-11-12,Consumer,Office Supplies,Storage,"Trav-L-File Heavy-Duty Shuttle II, Black",West,Arizona,Phoenix,243.99,30.5,0.2,7,2017-11,10-20%
129,US-2016-125969,2016-11-06,2016-11-10,Home Office,Furniture,Chairs,"Global Task Chair, Black",West,California,Los Angeles,81.42,-9.16,0.2,2,2016-11,10-20%
130,US-2016-125969,2016-11-06,2016-11-10,Home Office,Furniture,Furnishings,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,West,California,Los Angeles,238.56,26.24,0.0,3,2016-11,0%
131,US-2017-164147,2017-02-02,2017-02-05,Corporate,Technology,Phones,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,East,Ohio,Columbus,59.97,-11.99,0.4,5,2017-02,>20%
132,US-2017-164147,2017-02-02,2017-02-05,Corporate,Office Supplies,Paper,Xerox 1916,East,Ohio,Columbus,78.3,29.36,0.2,2,2017-02,10-20%
133,US-2017-164147,2017-02-02,2017-02-05,Corporate,Office Supplies,Fasteners,Staples,East,Ohio,Columbus,21.46,6.97,0.2,9,2017-02,10-20%
134,CA-2016-145583,2016-10-13,2016-10-19,Consumer,Office Supplies,Paper,Xerox 195,West,California,Roseville,20.04,9.62,0.0,3,2016-10,0%
135,CA-2016-145583,2016-10-13,2016-10-19,Consumer,Office Supplies,Paper,Xerox 1880,West,California,Roseville,35.44,16.66,0.0,1,2016-10,0%
136,CA-2016-145583,2016-10-13,2016-10-19,Consumer,Office Supplies,Art,"Sanford Colorific Colored Pencils, 12/Box",West,California,Roseville,11.52,3.46,0.0,4,2016-10,0%
137,CA-2016-145583,2016-10-13,2016-10-19,Consumer,Office Supplies,Fasteners,Ideal Clamps,West,California,Roseville,4.02,1.97,0.0,2,2016-10,0%
138,CA-2016-145583,2016-10-13,2016-10-19,Consumer,Office Supplies,Binders,GBC Wire Binding Strips,West,California,Roseville,76.18,26.66,0.2,3,2016-10,10-20%
139,CA-2016-145583,2016-10-13,2016-10-19,Consumer,Office Supplies,Supplies,Fiskars Softgrip Scissors,West,California,Roseville,65.88,18.45,0.0,6,2016-10,0%
140,CA-2016-145583,2016-10-13,2016-10-19,Consumer,Furniture,Furnishings,Longer-Life Soft White Bulbs,West,California,Roseville,43.12,20.7,0.0,14,2016-10,0%
